
10:17:32 Aguarde ... Processando no servidor.
10:18:33 Recalculando seletividade do índice PK_CN_FORNECEDOR_NOTA                                                                        

10:18:33 Recalculando seletividade do índice PK_TAB_CUSTO_MEDIO                                                                           

10:18:33 Recalculando seletividade do índice FK_TAB_CUSTO_MEDIO_LOJA                                                                      

10:18:33 Recalculando seletividade do índice PK_TAB_PRODUTO_PDV_ASSOC                                                                     

10:18:33 Recalculando seletividade do índice TAB_PRODUTO_PDV_ASSOC_IDX1                                                                   

10:18:33 Recalculando seletividade do índice TAB_PRODUTO_PDV_ASSOC_IDX2                                                                   

10:18:33 Recalculando seletividade do índice TAB_PRODUTO_PDV_ASSOC_IDX3                                                                   

10:18:34 Recalculando seletividade do índice TAB_PRODUTO_PDV_ASSOC_IDX4                                                                   

10:18:34 Recalculando seletividade do índice PK_TAB_COD_BARRA_ASSOC                                                                       

10:18:34 Recalculando seletividade do índice FK_TAB_COD_BARRA_ASSOC                                                                       

10:18:34 Recalculando seletividade do índice PK_TAB_PRODUTO_LOJA_ASSOC                                                                    

10:18:34 Recalculando seletividade do índice PK_TAB_CN_PRODUTO                                                                            

10:18:34 Recalculando seletividade do índice FK_TAB_CN_PRODUTO_PROD                                                                       

10:18:34 Recalculando seletividade do índice TAB_CN_PRODUTO_IDX1                                                                          

10:18:34 Recalculando seletividade do índice TAB_CN_PRODUTO_IDX2                                                                          

10:18:34 Recalculando seletividade do índice TAB_CN_PRODUTO_IDX3                                                                          

10:18:34 Recalculando seletividade do índice TAB_CN_PRODUTO_IDX4                                                                          

10:18:34 Recalculando seletividade do índice PK_TB_LOG_ONLINE                                                                             

10:18:34 Recalculando seletividade do índice PK_TAB_PRODUTO_FORN_COMPRA                                                                   

10:18:34 Recalculando seletividade do índice TAB_PRODUTO_FORN_COMPRA_IDX1                                                                 

10:18:34 Recalculando seletividade do índice PK_TAB_INDICE_DESEMPENHO_LOJA                                                                

10:18:34 Recalculando seletividade do índice FK_INDICE_DESEMPENHO_LOJA                                                                    

10:18:34 Recalculando seletividade do índice FK_INDICE_DESEMPENHO_PAI                                                                     

10:18:34 Recalculando seletividade do índice PK_TAB_CUPOM_PDV                                                                             

10:18:34 Recalculando seletividade do índice PK_TAB_SCANNTECH_ENVIO                                                                       

10:18:34 Recalculando seletividade do índice FK_TAB_SCANNTECH_ENVIO_LOJA                                                                  

10:18:34 Recalculando seletividade do índice TAB_SCANNTECH_ENVIO_IDX1                                                                     

10:18:34 Recalculando seletividade do índice TAB_SCANNTECH_ENVIO_IDX2                                                                     

10:18:34 Recalculando seletividade do índice PK_TAB_PROGRAMACAO_EAN                                                                       

10:18:34 Recalculando seletividade do índice FK_PROG_EAN                                                                                  

10:18:34 Recalculando seletividade do índice FK_PROG_EAN_LOJA                                                                             

10:18:34 Recalculando seletividade do índice PK_TAB_LOTE_CONFERENCIA                                                                      

10:18:34 Recalculando seletividade do índice FK_COD_ENTIDADES                                                                             

10:18:34 Recalculando seletividade do índice FK_COD_ENTIDADE_LOTE                                                                         

10:18:34 Recalculando seletividade do índice FK_COD_LOJA_LOTE                                                                             

10:18:34 Recalculando seletividade do índice FK_COD_LOTE                                                                                  

10:18:34 Recalculando seletividade do índice PK_TAB_SCANNTECH_LOG                                                                         

10:18:34 Recalculando seletividade do índice FK_TAB_SCANNTECH_LOG_LOJA                                                                    

10:18:34 Recalculando seletividade do índice TAB_SCANNTECH_LOG_IDX1                                                                       

10:18:34 Recalculando seletividade do índice TAB_SCANNTECH_LOG_IDX2                                                                       

10:18:34 Recalculando seletividade do índice TAB_SCANNTECH_LOG_IDX3                                                                       

10:18:34 Recalculando seletividade do índice PK_TAB_PROGRAMACAO_BRINDES_EAN                                                               

10:18:34 Recalculando seletividade do índice FK_PROG_EAN_BRINDE                                                                           

10:18:34 Recalculando seletividade do índice FK_PROG_EAN_BRINDE_LOJA                                                                      

10:18:34 Recalculando seletividade do índice PK_TAB_FLEX_ALTERACAO                                                                        

10:18:34 Recalculando seletividade do índice FK_FLEX_VEND_ALT                                                                             

10:18:34 Recalculando seletividade do índice PK_TAB_SEGMENTO                                                                              

10:18:34 Recalculando seletividade do índice PK_TAB_LOG_CARGA_PDV_PROD                                                                    

10:18:34 Recalculando seletividade do índice FK_TAB_LOG_CAR_PDV_COD                                                                       

10:18:34 Recalculando seletividade do índice FK_TAB_LOG_CAR_PROD_LOJA                                                                     

10:18:34 Recalculando seletividade do índice PK_TAB_NF_ITEM_REFERENCIADO                                                                  

10:18:34 Recalculando seletividade do índice PK_TAB_LOG_CARGA_PDV                                                                         

10:18:34 Recalculando seletividade do índice FK_LOG_CARGA_PDV_COD_INTERF                                                                  

10:18:34 Recalculando seletividade do índice FK_LOG_CARGA_PDV_INT_PRECO                                                                   

10:18:35 Recalculando seletividade do índice FK_LOG_CARGA_PDV_LOJA                                                                        

10:18:35 Recalculando seletividade do índice FK_LOG_CARGA_PDV_USUARIO                                                                     

10:18:35 Recalculando seletividade do índice PK_TAB_TIPO_MOV_FRENTE                                                                       

10:18:35 Recalculando seletividade do índice FK_TAB_TIPO_MOV                                                                              

10:18:35 Recalculando seletividade do índice PK_TAB_SCANNTECH_PRODUTO                                                                     

10:18:35 Recalculando seletividade do índice TAB_SCANNTECH_PRODUTO_IDX1                                                                   

10:18:35 Recalculando seletividade do índice TAB_SCANNTECH_PRODUTO_IDX2                                                                   

10:18:35 Recalculando seletividade do índice FK_TAB_SCANNTECH_PRODUTO_PROD                                                                

10:18:35 Recalculando seletividade do índice PK_TAB_SCANNTECH_FECH_PROM                                                                   

10:18:35 Recalculando seletividade do índice TAB_SCANNTECH_FECH_PROM_IDX1                                                                 

10:18:35 Recalculando seletividade do índice FK_TAB_SCANNTECH_FECH_PROM_LJ                                                                

10:18:35 Recalculando seletividade do índice TAB_SCANNTECH_FECH_PROM_IDX2                                                                 

10:18:35 Recalculando seletividade do índice PK_TAB_SCANNTECH_FECH_PDV                                                                    

10:18:35 Recalculando seletividade do índice TAB_SCANNTECH_FECH_PDV_IDX1                                                                  

10:18:35 Recalculando seletividade do índice FK_TAB_SCANNTECH_FECH_PDV_LOJA                                                               

10:18:35 Recalculando seletividade do índice PK_TAB_PRODUTO_CN                                                                            

10:18:35 Recalculando seletividade do índice PK_TAB_FRENTE_REPROC                                                                         

10:18:35 Recalculando seletividade do índice PK_TAB_FRENTE_CONEXAO                                                                        

10:18:35 Recalculando seletividade do índice PK_TAB_CENTRO_CUSTO_RATEIO                                                                   

